LotNum	Title	Description	LowEst	HighEst
79	EDWARD LUPPER PAINTING: LIONS OF VENICE	"Painting by Edward Lupper titled ""The lions of Venice.""  Framed dimensions 12 1/4"" by 20 1/2"", Visible artwork measures 7 1/2"" by 15 1/8"".  Lupper uses a mixed-media combination of casein and oil paints on gesso-prepared tempered masonite panels."	800.00	1200.00
80	OIL PAINTING EDWARD LUPPER: WINTER PROMENADE	"Painting by Edward Lupper titled, ""Winter Promenade"". Framed dimensions 20 1/2"" by 16 1/2"".  Visible art 15 1/2 x 11 3/4"".   Lupper uses a mixed-media combination of casein and oil paints on gesso-prepared tempered masonite panels"	800.00	1200.00
81	OIL PAINTING EDWARD LUPPER: HOLIDAY IN THE TROPICS	"Painting by Edward Lupper titled, ""Holiday in the Tropics"". Framed dimensions 12 1/2"" x 20 1/2"". Visible art 7 1/2"" x 15 1/2"".  Lupper uses a mixed-media combination of casein and oil paints on gesso-prepared tempered masonite panels. Condition good."	600.00	900.00
82	WATERCOLOR PAINTING WM REDD TAYLOR FLYING GEESE	"20th century watercolor painting, ""Flying Geese in the Snow"" signed lower left corner, Wm Redd Taylor. Framed matted and under glass.  Visible art measures 10 1/2"" high by 6 5/8"" wide.  Silver painted wood frame measures 16 1/4"" high by 12"" wide.  Both art and frame are in good condition, see images. "	300.00	400.00
83	SML 19th C OIL PAINTING FULL PORTRAIT OF A WOMAN	"Oil on canvas portrait painting of a woman standing with her arms folded.  Reverse is marked, C. Gye by T Saint,  R. A. P.P. O., Wantage Revels. Canvas measures 18"" tall by 12"" wide, some craquelure.  Wood and gesso carved frame with later bronze tone paint measures 22 3/4"" tall by 16 1/2"" wide by 2"" deep.  See images. Painting appears to have been cleaned and restored."	400.00	600.00
84	PAIR VICTORIAN STYLE DECORATIVE PRINTS	"Pair of Victorian style decorative prints, framed silk matted and under glass.  Visible prints measure 9 1/2"" high by 9 1/2"" wide.  Octangular shape frames measure 18' high by 18"" wide.  See images."	100.00	150.00
85	RETRO OIL PAINTING OF YOUNG GIRL WITH FLOWERS	"Framed oil painting of a young girl with flowers wearing a bonnet. Painting is in good condition. Wood frame with crackle finish has minor wear. Canvas measures 23 1/2"" wide by 24"" high. Framed dimensions 29"" wide by 29"" high. See images."	50.00	100.00
86	E. MORTIER OIL ON BOARD PAINTING COASTAL SCENE	"Oil on board painting signed E. Mortier of an ocean beach scene.  Painting is framed and mounted onto a larger frame.  Art work measures 12"" high  by 16 "" wide, condition is good, except for one pin hole.  Frame 21 1/2"" high by 25 1/4"" wide, minor scratches.  See images."	600.00	900.00
87	KEITH MARTIN JONES ORNITHOLOGICAL LITHOGRAPH PRINT	"Keith Martin Jones Ornithological lithograph print of a family of Roseate Spoonbill, pencil signed by the artist and numbered 278/295, framed, matted and under glass.  Visible art measures 24"" tall by 22"" wide.  Silver and gold tone wood frame measures 35"" tall by 33"" wide.   See images."	50.00	100.00
88	TWO MID CENTURY CHINESE PAINTINGS	"Two mid-twentieth century Chinese paintings with golden textured backgrounds. One floral still life, the other floral with figure. Both signed with a red chop stamp.  Framed and under glass.  Visible art measures 19 1/4"" high by 15 1/4"" wide, condition is good.  Gold bamboo frames measure 24"" tall by 19 3/4"" wide by 1 1/2 deep.  See images."	100.00	150.00
89	DAUM PATE DE VERRE ART GLASS PLATE BEETHOVEN	"Daum clear crystal and amethyst pate de verre plate depicting Beethoven. Measures 9 3/4"" wide. Signed on rim of foot, Daum Made in France and ""B"". Sold with original box and small amount of explanatory paperwork.  Weight 3.2 lbs."	100.00	150.00
91	DAUM ART GLASS SCULPTURE: BOB HOPE	"large heavy crystal art glass sculpture. Portrait of Bob Hope encased in clear crystal. Measures 11"" tall by 5 1/2"" wide and 2 1/8"" thick. Etched signature on lower right, Daum France. Good condition. Weight 5.7 lbs."	100.00	200.00
92	DAUM ART GLASS SCULPTURE: SOLITUDE	"Portrait encased in clear crystal etched signature Daum, France. Small metal plaque attached on lower front reads, Solitude Legendre ac Daum edit. Measures 6 1/4 x 4 1/4 x 1 1/2"". Good condition. Weight 4 lbs."	100.00	200.00
93	DAUM NANCY PATE DE VERRE ART GLASS PAPERWEIGHT BUTTERFLY	"Rare Daum Nancy pate de verre art glass butterfly paperweight. White glass with enameling. Measures 5 1/4"" x 3  3/4"" x 1/2"" thick. Weight 0.8 lbs."	200.00	300.00
